_id,MaPH,SoLuong,MaLoaiPH
5f019e6cf1fcc10a6c364c52,P101,3,LP02
5f019e6cf1fcc10a6c364c53,P102,3,LP01
5f019e6cf1fcc10a6c364c54,P103,false,LP01
5f019e6cf1fcc10a6c364c55,P104,false,LP01
5f019e6cf1fcc10a6c364c56,P105,false,LP02
5f019e6cf1fcc10a6c364c57,P106,false,LP02
5f019e6cf1fcc10a6c364c58,P107,false,LP01
5f019e6cf1fcc10a6c364c59,P108,false,LP02
5f019e6cf1fcc10a6c364c5a,P201,false,LP01
5f019e6cf1fcc10a6c364c5b,P202,false,LP02
5f019e6cf1fcc10a6c364c5c,P203,false,LP01
5f019e6cf1fcc10a6c364c5d,P204,false,LP01
5f019e6cf1fcc10a6c364c5e,P205,false,LP01
5f019e6cf1fcc10a6c364c5f,P206,false,LP02
5f019e6cf1fcc10a6c364c60,P207,false,LP01
5f019e6cf1fcc10a6c364c61,P208,false,LP02
5f019e6cf1fcc10a6c364c62,P301,false,LP02
5f019e6cf1fcc10a6c364c63,P302,false,LP01
5f019e6cf1fcc10a6c364c64,P303,false,LP02
5f019e6cf1fcc10a6c364c65,P304,0,LP01
5f019e6cf1fcc10a6c364c66,P305,0,LP01
5f019e6cf1fcc10a6c364c67,P306,0,LP02
5f019e6cf1fcc10a6c364c68,P307,0,LP02
5f019e6cf1fcc10a6c364c69,P308,0,LP02
